AYALA,35.4491,35.472
SAWYER,35.4721,35.495
ROMAN,35.4951,35.517
VAZQUEZ,35.5171,35.54
DICKERSON,35.5401,35.562
HODGE,35.5621,35.585
ACOSTA,35.5851,35.607
FLYNN,35.6071,35.63
ESPINOZA,35.6301,35.652
NICHOLSON,35.6521,35.675
MONROE,35.6751,35.697
WOLF,35.6971,35.719
MORROW,35.7191,35.741
KIRK,35.7411,35.763
RANDALL,35.7631,35.785
ANTHONY,35.7851,35.807
WHITAKER,35.8071,35.829
OCONNOR,35.8291,35.851
SKINNER,35.8511,35.873
WARE,35.8731,35.895
MOLINA,35.8951,35.916
KIRBY,35.9161,35.938
HUFFMAN,35.9381,35.96
BRADFORD,35.9601,35.982
CHARLES,35.9821,36.003
GILMORE,36.0031,36.025
DOMINGUEZ,36.0251,36.046
ONEAL,36.0461,36.068
BRUCE,36.0681,36.09
LANG,36.0901,36.111
COMBS,36.1111,36.132
KRAMER,36.1321,36.154
HEATH,36.1541,36.175
HANCOCK,36.1751,36.196
GALLAGHER,36.1961,36.218
GAINES,36.2181,36.239
SHAFFER,36.2391,36.26
SHORT,36.2601,36.281
WIGGINS,36.2811,36.302
MATHEWS,36.3021,36.323
MCCLAIN,36.3231,36.344
FISCHER,36.3441,36.365
WALL,36.3651,36.386
SMALL,36.3861,36.407
MELTON,36.4071,36.428
HENSLEY,36.4281,36.449
BOND,36.4491,36.47
DYER,36.4701,36.491
CAMERON,36.4911,36.511
GRIMES,36.5111,36.532
CONTRERAS,36.5321,36.553
CHRISTIAN,36.5531,36.573
WYATT,36.5731,36.594
BAXTER,36.5941,36.615
SNOW,36.6151,36.635
MOSLEY,36.6351,36.656
SHEPHERD,36.6561,36.677
LARSEN,36.6771,36.697
HOOVER,36.6971,36.718
BEASLEY,36.7181,36.738
GLENN,36.7381,36.758
PETERSEN,36.7581,36.779
WHITEHEAD,36.7791,36.799
MEYERS,36.7991,36.819
KEITH,36.8191,36.84
GARRISON,36.8401,36.86
VINCENT,36.8601,36.88
SHIELDS,36.8801,36.9
HORN,36.9001,36.92
